UtcTime,QuaternionNormRaw,ValidQuaternion,BodyRateXDegps,BodyRateYDegps,BodyRateZDegps,TotalRateDegps,StableRateFlag,ElevationDeg,AzimuthDeg,RangeKm,Sunlit,NadirErrorDeg,SunErrorDeg,GroundStationPointingErrorDeg,VisibleFromZhongli,SensorCandidateAtTelemetryTime
22-Apr-2026 05:23:52,0.992342483361508,1,0.026056696,0.05141323,0.013133609,0.0591165231625998,1,-28.5599413181395,158.156461165703,7186.53454390274,1,65.3070170199753,89.9674651041249,113.575663196459,0,0
22-Apr-2026 05:24:02,0.992342567305423,1,0.018294081,0.038994316,0.008154395,0.0438374752666989,1,-28.2053845732295,158.01282959835,7126.38560661995,1,64.8507164984251,89.9704659024921,113.33120165706,0,0
22-Apr-2026 05:24:12,0.992342781140406,1,0.02054226,0.046565715,0.013178623,0.0525740084409107,1,-27.8500215133926,157.868274715501,7066.03764225343,1,64.4009639849964,89.9799891834615,113.093056728251,0,0
22-Apr-2026 05:24:22,0.992342728474415,1,0.025292087,0.044134814,0.01571123,0.053239216933977,1,-27.4938319501062,157.722739882604,7005.49309010553,1,63.9466938530695,89.9826724315586,112.847971250909,0,0
22-Apr-2026 05:24:32,0.992342800749159,1,0.022529138,0.05171119,0.010741817,0.0574194728528627,1,-27.136794992328,157.576166382573,6944.7544377876,1,63.4878178428486,89.9833987988408,112.5988211782,0,0
22-Apr-2026 05:24:42,0.992342929962294,1,0.024777588,0.041793615,0.015773974,0.0510828090223966,1,-26.7788888095928,157.428494173559,6883.82418808471,1,63.0317951286993,89.9819267277695,112.348952746843,0,0
22-Apr-2026 05:24:52,0.992343223677595,1,0.017033854,0.044387788,0.0058123777,0.0478979293931765,1,-26.4200906932382,157.279661370461,6822.70487702737,1,62.5704932127773,89.9723337480214,112.090932736575,0,0
22-Apr-2026 05:25:02,0.99234346909526,1,0.021805797,0.039488357,0.015869753,0.047819161239462,1,-26.0603771198472,157.129603691757,6761.39909285433,1,62.1169628822167,89.9731698752208,111.842129371304,0,0
22-Apr-2026 05:25:12,0.992343406486197,1,0.011591513,0.03960554,0.013422899,0.0433951171203048,1,-25.699723468763,156.97825538091,6699.90943632272,1,61.6590157907593,89.9675745589895,111.586573614637,0,0
22-Apr-2026 05:25:22,0.992343403576156,1,0.018884426,0.04971758,0.00598553,0.0535190234943312,1,-25.3381042531254,156.825547898921,6638.23856926216,1,61.1983057371814,89.9573016331908,111.32607862756,0,0
